id_incident,date,day_week,prov,city_town,address_intersection,postal_code,location_type
317,21-Jan-08,Mon,QC,Grondines,,G0A 1W0,Rural
318,19-May-06,Fri,BC,Okanagan Indian Reserve (near Vernon),11307 Westside Rd.,V1T 7Z3,Urban
319,7-Jun-06,Wed,BC,Kelowna,3365 McIver Rd.,V4T 1G7,Urban
320,13-Aug-06,Sun,BC,McLeese Lake,Beaver Lake Rd. & Runaway Ln.,V0K 2G0,Rural
321,9-Aug-08,Sat,QC,Montreal,,H1G 1Y6,Urban
322,12-Oct-06,Thu,BC,Burnaby,7274 Canada Way,V5E 3R9,Urban
323,3-Feb-07,Sat,BC,Victoria,Hillside Ave. & Blackwood St.,V8T 2B2,Urban
324,13-Aug-07,Mon,BC,Vancouver,Granville St. & W 16th Ave.,V6H 3K1,Urban
325,27-Aug-03,Wed,ON,Grassy Narrows Reserve,,P0X 1B0,Rural
326,1-Jul-05,Fri,ON,Beamsville,4254 Crescent Ave.,L0R 1B8,Rural
327,7-Apr-07,Sat,ON,Renfrew,90 Bonnechere St.N,K7V 1Y9,Urban
328,28-Aug-07,Tue,BC,Fort St. John,100 St. & 100 Ave.,V1J 3Y5,Urban
329,14-Oct-07,Sun,BC,Richmond,Grant McConachie Way,V7B 0A4,Urban
330,19-Nov-07,Mon,BC,Chilliwack,45875 Airport Rd.  ,V2P 1A3,Urban
331,10-Dec-07,Mon,BC,Vancouver,1396 E 41st Ave,V5W 1R8,Urban
332,27-Dec-07,Thu,BC,Vernon,3800 27th Ave.,V1T 9C9,Urban
333,29-Jul-01,Sun,ON,Bradford,118 Holland St,L3Z 1X2,Urban
334,17-Jun-08,Tue,BC,Surrey,13578 Crescent Rd. ,V4P 1K8,Urban
335,27-Jun-08,Fri,BC,Surrey,72nd Ave. & 134th St.,V3W 2N5,Urban
336,31-Jul-08,Thu,BC,Surrey,106th Ave. & 132 St. ,V3T 3V9,Urban
337,20-Nov-07,Tue,ON,Kitchener,1400 Ottawa St. S,N2E 4E2,Urban
338,25-Aug-10,Wed,ON,Brantford,91A Sympatica,N3P 1X6,Urban
339,20-Jan-09,Tue,ON,Brantford,Grand River,N3S 7S9,Urban
340,18-Mar-06,Sat,ON,Brantford,18 Cecil Ave,N3R 5M4,Urban
341,3-Feb-09,Tue,ON,Midland,238 Scott St,L4R 2M6,Urban
342,4-Oct-00,Wed,ON,Stittsville,Cordukes St,K2S 1S1,Urban
344,27-Mar-07,Tue,ON,Toronto,3460 Keele St. ,M3J 3H5,Urban
347,26-Sep-07,Wed,QC,Sagard,,G0T 1X0,Rural
348,13-Dec-17,Wed,ON,Vaughan,1520 Major MacKenzie Dr W ,L6A 0A9,Urban
349,27-Aug-07,Mon,QC,Lorraine,,J6Z 3N2,Urban
350,28-Aug-10,Sat,ON,Toronto,Victoria Park Ave & Biscayne Blvd,M1R 1P1,Urban
351,14-Oct-07,Sun,QC,Montreal,,H1Z 3T8,Urban
352,11-May-07,Fri,ON,Sudbury/Minnow Lake,Bellevue Avenue,P3B 3E7,Urban
353,18-Jun-17,Sun,BC,Port Coquitlam,2103 Audrey Dr,V3C 1G9,Urban
354,18-Jul-17,Tue,BC,Prince George,1000 block of Central St. W.,V2M 3C9,Urban
355,12-Oct-17,Thu,BC,Qualicum Beach,39000 block of Inland Island Highway,V9K 2G8,Urban
356,6-Mar-09,Fri,ON,Ottawa,Claude Street ,K1K 2S2,Urban
357,12-Mar-11,Sat,ON,Burlington,Walkers Line,L7M 4N6,Urban
358,23-Jul-01,Mon,ON,Maynard,County Road 36,K0E 1T0,Rural
359,7-Oct-11,Fri,ON,Toronto,51 Wedgewood Drive,M2M 2H4,Urban
360,17-Jul-04,Sat,ON,Mississauga,6965 Dixie Rd,L5T 1A8,Urban
361,12-Sep-06,Tue,ON,London,769 Southdale Rd,N6E 3B9,Urban
362,29-Oct-05,Sat,ON,Thunder Bay,100 block Regina Avenue,P7B 5B4,Urban
363,11-Mar-02,Mon,ON,Morrisburg,Upper Canada Rd & 401,K0C 1X0,Rural
365,14-Jan-01,Sun,ON,Moosonee,,P0L 1Y0,Rural
366,5-May-10,Wed,ON,Toronto,Founders Rd & Steeles Ave W,L4K 4N5,Urban
367,30-Sep-08,Tue,BC,Langley,19917 47a Ave.,V3A 7S2,Urban
368,10-Feb-09,Tue,BC,100 Mile House,Cedar Ave.,V0K 2E0,Rural
369,1-Mar-09,Sun,BC,Duncan,2950 Boys Rd. ,V9L 6W4,Urban
370,20-Mar-09,Fri,BC,Vancouver,555 Homer St.,V6B 1K8,Urban
371,1-Jun-07,Fri,QC,Québec City,6415 boulevard Saint-Jacques,G2C 1M3,Urban
372,7-Apr-07,Sat,QC,Saint-Zotique,Rue Principale,J0P 1Z0,Rural
373,14-Jul-09,Tue,BC,Surrey,12639 80 Ave.,V3W 3A6,Urban
375,9-Jul-07,Mon,QC,Montreal,6325 Boul Henri-Bourassa E,H1G 2V4,Urban
376,27-Apr-12,Fri,ON,Moorseburg,Sideroad 9A,N0H 1K0,Rural
377,18-Sep-09,Fri,BC,Vancouver,102-2572 Birch St.,V6H 2T4,Urban
378,26-Sep-09,Sat,BC,Kisega'as (aka Kisgegas),,V0J 1Y0,Rural
379,25-Jul-07,Wed,ON,Niagara Falls,Bender St. & Ontario Ave.,L2G 3L5,Urban
380,14-Jun-06,Wed,QC,St-Sulpice,889 Chemin du Bord de l'Eau,J5W 4K4,Urban
381,30-Sep-09,Wed,BC,Buick Creek,18683 Aitken Creek Rd.,V0C 2R0,Rural
382,22-Jun-09,Mon,ON,Elmvale,21 Lawson Ave,L0L 1P0,Rural
383,23-Oct-09,Fri,BC,Nanaimo,531 Selby St.,V9R 2R9,Urban
384,29-Sep-05,Thu,QC,Yamachiche,1020 Boulevard Duchesne,G0X 3L0,Rural
385,9-Jan-10,Sat,BC,Deep Cove,Deep Cove Rd. & Strathcona Rd.,V7G 1V7,Urban
386,6-Mar-05,Sun,QC,Brossard,,J4W 3K8,Urban
387,24-Jun-09,Wed,ON,Osnaburgh Lake shore,,P0V 2H0,Rural
388,1-Aug-11,Mon,ON,Thornhill,90 Cottonwood Ct.,L3T 5X1,Urban
389,1-Dec-05,Thu,QC,Montreal,,H3S 2A3,Urban
390,30-Jul-10,Fri,BC,Kamloops,204 Tranquille Rd.,V2B 3G1,Urban
391,6-Aug-10,Fri,BC,Langley,5210-203rd St.,V3A 5C5,Urban
392,2-Mar-11,Wed,BC,Surrey,Highway 10 & King George Blvd.,V3X 2Z8,Urban
393,29-Dec-10,Wed,ON,Sudbury,168 Pine St.,P3C 1X3,Urban
394,23-Mar-11,Wed,BC,Surrey,3080 McBride Ave.,V4A 3H1,Urban
395,1-Jul-11,Fri,BC,Abbotsford,2303 Rosewood Dr. ,V2S 3S7,Urban
396,4-Jul-05,Mon,QC,Montreal,5365 rue Berri,H2J 2S7,Urban
397,11-Feb-04,Wed,QC,Gatineau,487 Boul Alexandre-Taché,J9A 1M8,Urban
398,1-Aug-11,Mon,ON,Toronto,Christie St & Bloor St,M6G 1L6,Urban
399,2-Jul-04,Fri,QC,Laval,,H7N 2H3,Urban
400,13-Apr-06,Thu,ON,Markham,39 Steele Valley Rd,L3T 1M2,Urban
401,22-Jul-11,Fri,BC,Vancouver,300 block of Powell St.,V6A 1G4,Urban
402,24-Sep-11,Sat,BC,Nimpo Lake,,V0L 1R0,Rural
403,6-Feb-03,Thu,ON,Toronto,2783 Danforth Ave,M4C 1M3,Urban
404,5-Jul-09,Sun,ON,Barrie,Bayfield St,L4M 3B9,Urban
405,19-May-10,Wed,BC,Surrey,64th Ave. & 184th St.,V3S 1E9,Urban
406,29-Sep-10,Wed,ON,Etobicoke,11 Dunbloor Rd.,M9A 1C4,Urban
407,22-Jun-10,Tue,BC,Surrey,160th St. & 88th Ave.,V4N 1H5,Urban
408,24-Jun-04,Thu,QC,Montreal,,H1E 1B3,Urban
409,9-Jul-10,Fri,BC,Surrey,8468 162 St. ,V4N 1B4,Urban
411,21-Feb-04,Sat,QC,Montreal,St. Jacques St. W.,H4C 3C8,Urban
412,28-Jun-13,Fri,BC,Vancouver,Main St. & Terminal Ave.,V6A 4C4,Urban
413,30-Jan-00,Sun,ON,Toronto,Winchester & Parliament,M4X 1C7,Urban
414,21-Dec-08,Sun,ON,Mississauga,28 Helene St,L5G 3B7,Urban
415,30-Jul-11,Sat,ON,Toronto,Lakeshore Blvd W,M4M 2M2,Urban
416,1-Jan-00,Sat,ON,Toronto,30 Bond St,M5B 1W8,Urban
417,29-Jul-17,Sat,ON,Mississauga,6045-6085 Creditview Rd,L5V 2A8,Urban
418,27-May-05,Fri,ON,Toronto,1898 Sheppard Ave W,M3L 1Y7,Urban
419,16-Jan-06,Mon,ON,Caledon,Bramalea Rd.,L7C 2R5,Urban
420,7-Feb-13,Thu,ON,Kirkfield,Kirkfield Rd & Glenarm Rd.,K0M 2T0,Rural
421,5-Nov-05,Sat,ON,Elgin,Wilson St,K0G 1E0,Rural
422,6-Apr-07,Fri,ON,Hamilton,225 Parkdale Ave N.,L8H 5X4,Urban
423,31-Dec-04,Fri,ON,Toronto,2129 Danforth Ave,M4C 1J8,Urban
424,24-Sep-03,Wed,QC,Quebec City,825 Kirouac St,G1N 2J7,Urban
425,28-Jun-03,Sat,QC,Montreal,,H1G 4J9,Urban
426,14-Oct-04,Thu,ON,Scarborough,20 Ellesmere Rd.,M1R 4C1,Urban
427,4-Sep-02,Wed,QC,Montreal,1750 Rue Saint-Denis,H2X 3K6,Urban
428,5-Jun-02,Wed,QC,Evain,154 Rue Principale,J0Z 1Y0,Rural
430,29-Nov-08,Sat,ON,Oshawa,Glen St.,L1J 3V1,Urban
431,30-Dec-17,Sat,ON,Mississauga,Torino Crescent,L4W 3N5,Urban
432,23-Jun-02,Sun,ON,Toronto,53 Thorncliffe Park Crescent,M4H 1L1,Urban
433,23-Jun-08,Mon,ON,Fisher's Glen,Fisher's Glen Rd & Front Rd,N0E 1W0,Rural
434,1-Feb-02,Fri,ON,Toronto,Havelock St & Bloor St,M6H 1M5,Urban
435,7-Apr-00,Fri,ON,Mississauga,Woodruff Cres,L4T 1T8,Urban
436,8-Mar-10,Mon,ON,Seaforth/Walton,82352 North Line Rd.,N0K 1Z0,Rural
437,1-Dec-07,Sat,ON,Oakville,Wedgewood Park,L6J 4P4,Urban
438,18-Jul-00,Tue,QC,St. Leonard,8595 Lacordaire Blvd.,H1R 2A8,Urban
439,16-Jul-00,Sun,QC,Montreal,1580 Avenue Papineau,H2K 4H8,Urban
440,31-May-00,Wed,QC,Montreal,,H2S 1S1,Urban
444,17-Nov-13,Sun,ON,Oakville,Oak Springs Rd & Upper Middle Rd,L6H 5P9,Urban
445,28-Dec-17,Thu,QC,Danford Lake,45 Route 301,J0X 1P0,Rural
446,8-Aug-04,Sun,ON,Kingston,1000 block Portsmouth Ave,K7M 1X3,Urban
447,24-May-17,Wed,ON,Cobourg,170 Blake St,K9A 2K5,Urban
448,28-Dec-17,Thu,QC,Umiujaq,,J0M 1Y0,Rural
452,21-Oct-17,Sat,SK,North Battleford,15th Ave & 105th St,S9A 1T4,Urban
455,29-Aug-13,Thu,ON,Toronto,379 Yonge St,M5B 1S1,Urban
456,25-Jul-12,Wed,ON,Newmarket,1111 Davis Dr,L3Y 2R9,Urban
457,30-May-06,Tue,ON,Toronto,Regatta Cres,M2R 1Z5,Urban
458,11-Jan-06,Wed,ON,Unionville,4 Octavia Crt,L3R 1N3,Urban
459,8-Aug-10,Sun,ON,London,313 Clarke Rd,N5W 2L6,Urban
460,18-Nov-07,Sun,ON,Toronto,Don Valley Parkway & Don Mills Rd,M4J 2X5,Urban
461,9-Aug-00,Wed,ON,Toronto,1269 College St,M6H 1C5,Urban
462,13-May-04,Thu,ON,London,Rectory St & Hamilton Rd,N5Z 1R7,Urban
463,21-May-06,Sun,ON,Toronto,Benleigh Dr & Benorama Cres,M1H 1L2,Urban
464,17-Apr-06,Mon,ON,Brampton,25 Rambler Dr.,L6W 3C3,Urban
466,12-Apr-05,Tue,ON,Kitchener,2960 Kingsway Dr,N2C 1X1,Urban
467,1-Jul-15,Wed,ON,Markdale,Main St W,N0C 1H0,Rural
468,21-Feb-05,Mon,ON,Toronto,2700 Bathurst St,M6B 3A1,Urban
469,16-Feb-04,Mon,ON,Toronto,265 Woodbine Ave,M4L 3P3,Urban
470,23-Oct-10,Sat,ON,Toronto,200 Dufferin St,M6K 1Z4,Urban
473,9-Sep-10,Thu,ON,Cat Lake First Nation,Cat Lake Nursing Station,P0V 1J0,Rural
474,12-Jul-09,Sun,BC,Victoria,537 St Charles St.,V8S 3N9,Urban
475,14-Jan-05,Fri,ON,Toronto,Mulock Street,M6N 3C5,Urban
476,10-Jul-01,Tue,SK,Regina,3535 8th Ave,S4T 0T6,Urban
477,9-Oct-01,Tue,SK,Regina,2200 block of Quebec Street,S4P 1K2,Urban
478,1-Sep-01,Sat,SK,Regina,Plentywood Bay,S4R 7L4,Urban
479,27-Sep-02,Fri,BC,Prince George,1600 15th Ave,V2L 3X3,Urban
480,2-Sep-07,Sun,BC,Vancouver,1119 Hornby St.,V6Z 1B3,Urban
481,11-Jun-11,Sat,QC,Montreal,,H1W 1H6,Urban
482,23-Dec-17,Sat,ON,Morrisburg,6 fifth St West,K0C 1X0,Rural
484,5-Jun-05,Sun,ON,Ottawa,Ottawa International Airport,K1V 9B4,Urban
486,11-May-05,Wed,ON,Whitby,Bluebell Crescent,L1P 1K7,Urban
487,15-Nov-03,Sat,ON,Brockville,County Rd 29,K6V 5T4,Urban
488,22-May-17,Mon,ON,Cambridge,Cedar Rd & Southgate Rd,N1S 1W8,Urban
489,31-Mar-04,Wed,QC,Aupaluk,,J0M 1X0,Rural
491,11-May-15,Mon,AB,Trout Lake,,T0G 2N0,Rural
492,2-Jun-00,Fri,ON,London,36 Parliament Crescent,N6C 2Y1,Urban
493,23-Jun-01,Sat,ON,Ottawa,Clarence St near Cumberland,K1N 5P8,Urban
494,7-May-02,Tue,ON,Toronto,675 Progress Ave,M1H 2X1,Urban
495,29-Nov-08,Sat,MB,The Pas,377 Keewatin St.,R9A 1K3,Urban
496,20-Feb-03,Thu,ON,Hamilton,Sanford Avenue North,L8L 5Z6,Urban
497,17-Aug-13,Sat,QC,Akulivik,,J0M 1V0,Rural
498,25-Jul-11,Mon,ON,Toronto,Pearson International Airport,L5P 1B2,Urban
499,8-Jun-08,Sun,ON,Lindsay,1754 Ontario 7 west,K9V 4R2,Urban
500,27-Mar-11,Sun,QC,Terrebonne,376 Rue Saint-Louis,J6W 1H3,Urban
501,21-Oct-10,Thu,QC,Cloutier,,J0Z 1S0,Rural
502,25-Apr-07,Wed,QC,Matagami,13 rue du Portage,J0Y 2A0,Rural
503,19-Apr-05,Tue,ON,Toronto,"Queen Street, Toronto",M5B 1W8,Urban
504,9-Jul-13,Tue,SK,Prince Albert,,S6V 1P5,Urban
